NCT01975389,Pfizer,FALSE,AL,https://ClinicalTrials.gov/show/NCT01975389,TRUE,The Evaluation of Bococizumab (PF-04950615; RN316) in Reducing the Occurrence of Major Cardiovascular Events in High Risk Subjects,Cardiovascular Disease,Drug:bococizumab (PF-04950615); Drug:Placebo,[],19-Jan-16,18,9999,Both,FALSE,10
NCT01975376,Pfizer,FALSE,AL,https://ClinicalTrials.gov/show/NCT01975376,TRUE,The Evaluation of Bococizumab (PF-04950615;RN316) in Reducing the Occurrence of Major Cardiovascular Events in High Risk Subjects,Cardiovascular Disease,Drug:bococizumab (PF-04950615); Drug:Placebo,[],19-Jan-16,18,9999,Both,FALSE,10
NCT02451137,Sanofi,FALSE,AL,https://ClinicalTrials.gov/show/NCT02451137,TRUE,"A ""Real World"" Trial to Determine Efficacy and Health Outcomes of Toujeo (ACHIEVE CONTROL REAL LIFE STUDY PROGRAM)","Diabetes Mellitus, Type 2",Drug:INSULIN GLARGINE (U300); Drug:INSULIN GLARGINE (U100); Drug:Insulin detemir (Levemir),[],3-Feb-16,18,9999,Both,FALSE,12
NCT01101035,Takeda,TRUE,AL,https://ClinicalTrials.gov/show/NCT01101035,TRUE,Cardiovascular Safety of Febuxostat and Allopurinol in Patients With Gout and Cardiovascular Comorbidities,Cardiovascular Disease,Drug:Febuxostat; Drug:Allopurinol,[],11-Aug-15,50,9999,Both,FALSE,5
NCT01991795,AstraZeneca,FALSE,AL,https://ClinicalTrials.gov/show/NCT01991795,TRUE,A Study Comparing Cardiovascular Effects of Ticagrelor Versus Placebo in Patients With Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2",Drug:Ticagrelor 60 mg; Drug:Ticagrelor placebo,[],11-Jan-16,50,130,Both,FALSE,13
NCT02164513,GlaxoSmithKline,FALSE,AL,https://ClinicalTrials.gov/show/NCT02164513,TRUE,"A Study Comparing the Efficacy, Safety and Tolerability of Fixed Dose Combination (FDC) of FF/UMEC/VI With the FDC of FF/VI and UMEC/VI; Administered Once-daily Via a Dry Powder Inhaler (DPI) in Subjects With Chronic Obstructive Pulmonary Disease (COPD)","Pulmonary Disease, Chronic Obstructive",Drug:fluticasone furoate (FF); Drug:vilanterol (VI); Drug:umeclidinium bromide (UMEC),[],4-Feb-16,40,9999,Both,FALSE,8
NCT01966107,AstraZeneca,FALSE,AL,https://ClinicalTrials.gov/show/NCT01966107,TRUE,Evaluate the Effect of Aclidinium Bromide on Long-term Cardiovascular Safety and Exacerbations in Moderate to Very Severe COPD Patients.,COPD; Chronic Obstructive Pulmonary Disease; Moderate to Very Severe COPD,Drug:Aclidinium Bromide; Drug:Placebo,[],14-Jan-16,40,130,Both,FALSE,13
NCT02182830,Boehringer Ingelheim,FALSE,AL,https://ClinicalTrials.gov/show/NCT02182830,TRUE,24 Week Efficacy and Safety Study of Empagliflozin (BI 10773) in Hypertensive Black/African American Patients With Type 2 Diabetes Mellitus and Hypertension,"Diabetes Mellitus, Type 2; Hypertension",Drug:Empagliflizon low dose; Drug:placebo; Drug:Empagliflizon high dose,[],26-Jan-16,18,9999,Both,FALSE,75
NCT02019264,Eisai Inc.,FALSE,AL,https://ClinicalTrials.gov/show/NCT02019264,TRUE,A Study to Evaluate the Effect of Long-term Treatment With BELVIQ (Lorcaserin HCl) on the Incidence of Major Adverse Cardiovascular Events and Conversion to Type 2 Diabetes Mellitus in Obese and Overweight Subjects With Cardiovascular Disease or Multiple Cardiovascular Risk Factors,Cardiovascular Disease; High Cardiovascular Risk; Obesity; Overweight; Type 2 Diabetes,Drug:APD356-Lorcaserin hydrochloride; Drug:Placebo,[],5-Nov-15,40,9999,Both,FALSE,102
NCT02528253,Pfizer,FALSE,AL,https://ClinicalTrials.gov/show/NCT02528253,TRUE,A Phase 3 Study of Tanezumab for Chronic Low Back Pain,Low Back Pain,"Biological:Placebo to Week 16; tanezumab 5mg SC; Biological:Placebo to Week 16, tanezumab 10 mg SC; Biological:Tanezumab 5 mg SC; Biological:Tanezumab 10 mg SC; Biological:Tramadol PR oral",[],1-Feb-16,18,9999,Both,FALSE,10
